Time,Tank 1,Tank 2,Tank 3
180,10169.99609,3748.610352,7395.34668
181,10199.26074,3709.019287,7382.212402
182,10155.62109,3706.919678,7366.941406
183,10135.34375,3677.841064,7352.18457
184,10134.09668,3658.877441,7313.584473
185,10099.02344,3600.396484,7281.949707
186,10134.67188,3591.817627,7265.726563
187,10106.47363,3568.025635,7225.807129
188,10079.2041,3511.313477,7191.817383
189,10101.08398,3493.394531,7169.927246
190,10113.20508,3474.095215,7145.645996
191,10099.22852,3485.58252,7122.184082
192,10039.80273,3427.83667,7090.756836
193,10028.2832,3408.387207,7060.248047
194,10066.42871,3429.995117,7033.984863
195,10071.30469,3436.474854,6992.25293
196,10028.52441,3476.662842,6943.758301
197,10004.1123,3471.224609,6880.279785
198,10059.31445,3386.10376,6853.32666
199,9986.570313,3336.831299,6855.752441
200,9975.1875,3329.436035,6839.967285
201,9956.427734,3281.677734,6899.676758
202,9901.251953,3252.647949,6916.003418
203,9919.172852,3238.056396,6978.93457
204,9897.686523,3240.184814,6980.814941
205,9835.769531,3244.080078,6953.04248
206,9847.557617,3229.203369,6915.782715
207,9828.297852,3199.916992,6887.855469
208,9796.982422,3197.711182,6870.13623
209,9790.24707,3200.785156,6859.359863
210,9726.176758,3198.039307,6837.249023
211,9781.140625,3188.017822,6795.061035
212,9719.744141,3144.517334,6757.32373
213,9705.341797,3145.547607,6710.241211
214,9688.225586,3123.663574,6681.808105
215,9670.980469,3107.128174,6649.364746
216,9692.890625,3074.836426,6614.161133
217,9757.014648,3059.891357,6571.195801
218,9710.136719,3057.700928,6547.844238
219,9690.517578,3073.23877,6543.330566
220,9625.484375,3135.391113,6518.66748
221,9700.248047,3056.585938,6530.030762
222,9681.764648,3011.302734,6516.687012
223,9679.3125,2997.217529,6533.049805
224,9671.974609,2995.003906,6531.055664
225,9661.90918,2955.147705,6573.342773
226,9621.907227,2937.303467,6535.427246
227,9626.438477,2940.376465,6492.842285
228,9577.805664,2923.662842,6456.816406
229,9597.084961,2905.355469,6444.651855
230,9528.470703,2881.400146,6424.106445
231,9572.182617,2865.522949,6426.657227
232,9510.00293,2869.521973,6442.304199
233,9518.553711,2864.465088,6466.869629
234,9458.010742,2878.713379,6489.504883
235,9423.65625,2864.499512,6502.820801
236,9372.075195,2820.218018,6485.546875
237,9392.070313,2811.851807,6469.394531
238,9414.673828,2792.037598,6412.339355
239,9402.285156,2799.175537,6356.859863
240,9357.099609,2794.14917,6312.270996
241,9369.986328,2707.274658,6282.17041
242,9284.195313,2684.52002,6272.520996
243,9315.509766,2679.063232,6271.743164
244,9253.602539,2718.216553,6250.567871
245,9272.973633,2723.921631,6222.601563
246,9315.433594,2698.839844,6190.000977
247,9265.282227,2710.199463,6163.315918
248,9261.040039,2656.82666,6142.660645
249,9188.789063,2669.659424,6121.972656
250,9128.510742,2653.104004,6125.727051
251,9111.339844,2646.091553,6119.43457
